United States;20513000
China;13457267
Japan;5070626
Germany;4029140
United Kingdom;2808899
France;2794696
India;2689992
Italy;2086911
Brazil;1909386
Canada;1733706
South Korea;1655608
Russia;1576488
Spain;1437047
Australia;1427767
Mexico;1199264
Indonesia;1005268
Netherlands;909887
Saudi Arabia;769878
Turkey;713513
Switzerland;709118
Taiwan;602678
Sweden;554659
Poland;549478
Belgium;536055
Thailand;490120
Argentina;475429
Austria;459401
Norway;441439
United Arab Emirates;432612
Iran;430082
Nigeria;397472
South Africa;376679
Ireland;366448
Israel;365599
Hong Kong;360315
Denmark;354683
Malaysia;347290
Singapore;346621
Colombia;336940
Philippines;331678
Pakistan;306987
Chile;299887
Bangladesh;286275
Finland;276553
Egypt;249471
Czech Republic;244540
Vietnam;241434
Romania;239440
Portugal;237962
Iraq;230911
Peru;228944
Greece;218057
New Zealand;205997
Algeria;188342
Qatar;188295
Kazakhstan;184209
Hungary;156393
Kuwait;144523
Ukraine;126390
Morocco;118178
Angola;114504
Ecuador;107266
Slovakia;106940
Puerto Rico;104557
Venezuela;96328
Sri Lanka;92504
Kenya;89591
Ethiopia;83836
Oman;81682
Dominican Republic;81103
Guatemala;79109
Syria;77460
Myanmar;71543
Luxembourg;68993
Panama;66031
Bulgaria;63651
Uruguay;60933
Costa Rica;60816
Croatia;59971
Belarus;56934
Lebanon;56709
Tanzania;55645
Slovenia;54969
Macau;53961
Lithuania;52468
Ghana;51815
Serbia;47564
Côte d'Ivoire;45875
Azerbaijan;45592
Uzbekistan;43303
Libya;43236
Democratic Republic of the Congo;42692
Turkmenistan;42764
Jordan;41869
Paraguay;41851
Bolivia;41833
Tunisia;41662
Bahrain;39300
Cameroon;38445
Latvia;34286
Sudan;33249
Estonia;29527
Nepal;28813
Yemen;28524
Uganda;27855
Iceland;26684
El Salvador;25833
Zambia;25778
Senegal;24240
Cambodia;24141
Cyprus;23963
Honduras;23835
Trinidad and Tobago;23284
Papua New Guinea;20767
Afghanistan;20367
Bosnia and Herzegovina;19984
Zimbabwe;19367
Botswana;19070
Laos;18230
Mali;17407
Gabon;17212
Georgia;16716
Jamaica;15424
Albania;15121
Brunei;14695
Mozambique;14601
Burkina Faso;14284
Malta;14270
Namibia;14148
Mauritius;14033
Nicaragua;13380
Equatorial Guinea;13225
Bahamas;12928
Mongolia;12724
Armenia;12533
Madagascar;12499
Macedonia;12374
Guinea;11503
Republic of Congo;11460
Moldova;11436
Chad;11112
Benin;10546
Haiti;9717
Rwanda;9709
Niger;9458
Kyrgyzstan;8013
Kosovo;7839
Tajikistan;7350
Malawi;6885
Eritrea;6722
Montenegro;5389
Togo;5347
Fiji;5223
Mauritania;5200
Barbados;5172
Maldives;4809
Eswatini;4756
South Sudan;3980
Suriname;3840
Sierra Leone;3754
Guyana;3636
Burundi;3436
Liberia;3218
Timor-Leste;3155
Lesotho;2981
Bhutan;2624
Central African Republic;2307
Djibouti;2187
Cape Verde;1972
Belize;1912
St. Lucia;1774
San Marino;1769
Antigua and Barbuda;1612
The Gambia;1605
Seychelles;1564
Guinea-Bissau;1480
Solomon Islands;1424
Grenada;1192
St. Kitts and Nevis;1005
Vanuatu;957
Samoa;878
St. Vincent and the Grenadines;828
Comoros;745
Dominica;485
Tonga;468
São Tomé and Príncipe;450
Federated States of Micronesia;335
Palau;300
Marshall Islands;230
Kiribati;205
Tuvalu;45
